Vote From,Type,Slovenia,France,Israel,Estonia,United Kingdom,Armenia,Lithuania,Serbia,Norway,Sweden,Cyprus,Australia,Belgium,Austria,Greece,Montenegro,Germany,Poland,Latvia,Romania,Spain,Hungary,Georgia,Azerbaijan,Russia,Albania,Italy
Albania,Televote,,,5,3,,,,,,6,,1,2,,10,,4,,,,,,7,,8,,12
Armenia,Televote,,3,2,5,,,,,,7,,,4,,1,8,,,,,,,6,,12,,10
Australia,Televote,,,3,5,2,,,8,1,12,,,10,,,,,,6,,,,,,4,,7
Austria,Televote,,,2,1,,,,10,,5,,8,3,,,,,,,4,,,,,7,6,12
Azerbaijan,Televote,,,6,5,,,,,,8,,2,3,,,,,,4,,1,,7,,12,,10
Belarus,Televote,,,,10,,2,,,,6,,3,8,,,,,,5,,,,4,1,12,,7
Belgium,Televote, ,,3,2,,6,,,,10,,,,,,,,5,,4,1,,,,7,8,12
Cyprus,Televote,,,5,2,,6,,,,7,,1,4,,12,,,,,3,,,,,8,,10
Czech Republic,Televote,,,3,,,12,,5,,6,,,2,,,,,,,,,,4,7,10,1,8
Denmark,Televote,,,3,4,,,,2,5,12,,10,7,,,,,,1,,,,,,8,,6
Estonia,Televote,,,,,,,2,,3,10,,4,6,,,,,,7,1,,5,,,12,,8
Macedonia,Televote,8,,,2,,3,,10,,5,,,1,,,4,,,,,,,,,6,12,7
Finland,Televote,,,1,12,,,,,4,10,,5,6,,,2,,,3,,,,,,7,,8
France,Televote,,,6,,,10,,3,,2,,,8,,,,,1,,7,5,,,,4,,12
Georgia,Televote,,,,5,,12,2,,,4,,,3,,1,,,,6,,,,,8,10,,7
Germany,Televote,,,4,,,,,2,,6,,8,7,,,,,3,,,,1,,,10,5,12
Greece,Televote,,,1,3,,,,,,4,8,2,6,,,,,,,,,,5,,7,10,12
Hungary,Televote,,,4,10,,,,2,,7,,5,8,,,,,,1,3,,,,,6,,12
Iceland,Televote,,,5,4,,,,,7,10,,8,6,,,,,1,3,,,,,,2,,12
Ireland,Televote,,,,2,,,12,,,6,,3,1,,,,,10,8,4,,,,,7,,5
Israel,Televote,,,,1,,8,,,,7,,5,6,,,,,,2,4,,,3,,12,,10
Italy,Televote,,,5,,,,,6,,3,,,1,,,,,7,,10,2,,4,,8,12,
Latvia,Televote,4,,2,10,,,8,,3,7,,1,5,,,,,,,,,,,,12,,6
Lithuania,Televote,4,,,10,,,,,1,7,,2,6,,,,,,12,,,,3,,8,,5
Malta,Televote,,,5,3,2,,,,,10,,6,4,,,,,,1,,,,,7,8,,12
Moldova,Televote,,,,4,,2,,,,6,,,5,,,,,,3,12,,,1,7,10,,8
Montenegro,Televote,4,,3,1,,,,12,,5,,,,,,,,,,,2,,,8,7,10,6
Norway,Televote,,,1,2,,,8,,,12,,10,6,,,,,4,5,,,,,,3,,7
Poland,Televote,3,,4,10,,,,,,8,,2,6,,,,1,,5,,,,,,7,,12
Portugal,Televote,,,5,3,,,,,1,6,,,4,,,,,,2,7,10,,,,8,,12
Romania,Televote,,,3,4,,,,,,8,,,5,,,,,,1,,2,10,,7,6,,12
Russia,Televote,,,1,7,,10,,2,,6,,,8,,,,,,5,,,,4,3,,,12
San Marino,Televote,,1,2,,3,,,,6,7,,8,5,,,,,,12,,,4,,,,,10
Serbia,Televote,4,,6,2,,,,,,7,,,3,,,12,,,,,,1,,,10,5,8
Slovenia,Televote,,,2,3,,,,12,,6,,,4,,,8,,,1,,,,,,5,7,10
Spain,Televote,,,4,1,,,,,,8,,7,5,,,,,,2,10,,,3,,6,,12
Sweden,Televote,,,3,6,,,,1,7,,,12,10,,,,,2,,,,,,,4,5,8
Switzerland,Televote,,,1,,,,,8,5,7,,6,2,,,,,,,,3,,,,4,12,10
the Netherlands,Televote,,,3,2,,6,,1,,8,,7,12,,,,,4,,,,,,,5,,10
United Kingdom,Televote,,,1,,,,12,2,,8,,6,3,,,,,10,5,,,,,,4,,7
Albania,Jury,,,,1,,,,5,,6,,3,,,10,8,,,4,,,2,,,7,,12
Armenia,Jury,,3,,,,,,,,5,,1,4,,10,7,,,6,,,,12,,8,,2
Australia,Jury,,,,,,,,2,8,10,1,,3,,,,,,7,,,,4,5,12,,6
Austria,Jury,,,,7,,,,,6,10,2,12,3,,1,,,,4,,,,,,8,,5
Azerbaijan,Jury,7,,8,,,,3,,,4,,,,,,2,,,6,,,1,10,,12,,5
Belarus,Jury,,,4,2,1,6,,,,12,3,8,7,,,,,,5,,,,,,10,,
Belgium,Jury,,,,,,,,,,8,,7,,5,,,6,,12,4,,2,3,,10,,1
Cyprus,Jury,,2,4,1,,,,,10,12,,3,6,,5,,,,7,,,,,,,,8
Czech Republic,Jury,,6,,,,,,,7,12,,,5,,,,3,,8,,,2,1,10,4,,
Denmark,Jury,,,,6,,,2,,1,10,,8,5,,,,,,7,4,,,,,12,,3
Estonia,Jury,2,,,,,,1,,5,10,,6,7,,,,,,4,,,12,3,,8,,
Macedonia,Jury,8,,,2,,3,,10,,5,,,1,,,4,,,,,,,,,6,12,7
Finland,Jury,,,1,6,,,,,2,10,,5,8,,,,4,,12,,,,3,,7,,
France,Jury,,,,,,,,,4,8,7,3,10,,,,1,2,12,,,5,,,6,,
Georgia,Jury,,,,,,4,5,,,12,,,10,8,,,,,1,,3,,,6,,2,7
Germany,Jury,1,,2,5,,,,,8,10,,4,6,3,,,,,12,,,,,,7,,
Greece,Jury,,,,,,3,,,,4,10,7,6,,,,,,5,1,,,,,8,2,12
Hungary,Jury,,,,2,,,,,4,10,3,7,8,1,,,,,12,,,,6,,5,,
Iceland,Jury,6,,5,,,,,,10,12,,7,3,2,,,,,8,,,,,1,4,,
Ireland,Jury,,,,,,,3,,6,12,5,4,,1,,,,,10,,,,,2,8,,7
Israel,Jury,7,,,,,,3,2,,10,5,8,,1,,,6,,,,,,,,4,,12
Italy,Jury,,,5,2,1,,,,12,10,4,8,7,,,,,,6,,,,,,3,,
Latvia,Jury,1,5,,2,,,4,,,12,,10,3,8,,,,,,,,,,,6,,7
Lithuania,Jury,2,,,4,,,,,8,10,,3,6,1,,,,,12,,,,7,5,,,
Malta,Jury,,,4,1,,,,,3,10,,7,,,,,,,5,,2,,,8,6,,12
Moldova,Jury,,,,,,,,3,,10,,8,6,,,1,,,2,12,,,5,,7,,4
Montenegro,Jury,4,,3,1,,,,12,,5,,,,,,,,,,,2,,,8,7,10,6
Norway,Jury,4,,7,2,,,3,,,12,5,8,6,,,,,,10,,,,,,,,1
Poland,Jury,,,7,,3,,,,6,10,2,12,5,,,,,,8,,,,,,4,,1
Portugal,Jury,,,6,,,,,12,,10,3,,4,,,5,,,1,,,,2,,8,,7
Romania,Jury,,4,,,,,,,10,7,2,3,6,,,1,,,5,,,,,,12,,8
Russia,Jury,,,,6,,2,,,,12,,8,10,4,3,,,,,,,1,5,,,,7
San Marino,Jury,,1,2,,3,,,,6,7,,8,5,,,,,,12,,,4,,,,,10
Serbia,Jury,5,,4,,,,,,,8,,7,6,,,12,2,,1,,,,,,10,,3
Slovenia,Jury,,,,,1,,,,8,10,7,5,2,,,6,,,12,,,,,,3,,4
Spain,Jury,,1,,3,,,,,4,6,,7,10,2,,,,,5,,,,,,12,,8
Sweden,Jury,,,4,,,,,,7,,,12,8,,,2,,,10,,1,,,3,5,,6
Switzerland,Jury,,2,1,,3,,7,,12,8,,5,,4,,,,,10,,,,,,6,,
the Netherlands,Jury,,,5,3,,,,,4,12,,10,8,,,,,,2,,,,1,,7,,6
United Kingdom,Jury,1,,8,,,,,,,12,4,10,3,,,,2,,6,,,,,,5,,7